load_id,origin_city,origin_state,origin_latitude,origin_longitude,destination_city,destination_state,destination_latitude,destination_longitude,amount,pickup_date_time
434057843,Muncy,PA,41.205628,-76.78551899999998,Baltimore,MD,39.297668,-76.61759999999998,981,2022-03-02 19:00:00
434076692,GRIFTON,NC,35.37266159057617,-77.43746948242188,MILLERSBURG,PA,40.539527893066406,-76.9608154296875,1688,2022-03-04 12:00:00
434077295,HARTFORD,CT,41.76675415039063,-72.67298126220702,BRAINTREE,MA,42.21994018554688,-70.99592590332031,721,2022-03-02 12:00:00
434077563,Muncy,PA,41.199614,-76.786403,Baltimore,MD,39.270522,-76.626796,982,2022-03-02 18:00:00
434077674,PLYMOUTH,NC,35.861656188964844,-76.74725341796875,ALLENSVILLE,PA,40.53590393066406,-77.81694030761719,1663,2022-03-04 08:00:00
434082923,Vancouver,WA,45.636473,-122.672141,Alliance,OH,40.901821,-81.114288,1501,2022-03-02 18:00:00
434082924,Orting,WA,47.099993,-122.20692,Alliance,OH,40.901821,-81.114288,1496,2022-03-02 11:00:00
434087736,LAKE CHARLES,LA,30.227726,-93.214423,BLUE RIDGE,GA,34.862883,-84.32147299999998,2097,2022-03-03 11:00:00
434093021,ennis,TX,32.33139,-96.621557,chattanooga,TN,35.045682,-85.310027,1611,2022-03-01 11:00:00
434093038,ennis,TX,32.33139,-96.621557,purvis,MS,31.142412,-89.403474,1054,2022-03-01 12:00:00
434102979,grand rapids,MI,42.965068,-85.672302,mcdonough,GA,33.448221,-84.146842,3117,2022-02-28 12:00:00
434102982,GRIFTON,NC,35.37266159057617,-77.43746948242188,COATESVILLE,PA,39.98065185546875,-75.8301239013672,1484,2022-03-03 11:00:00
434103002,PLYMOUTH,NC,35.861656188964844,-76.74725341796875,WASHINGTON,GA,33.73679351806641,-82.73931121826173,1185,2022-03-03 11:00:00
434103003,GRIFTON,NC,35.37266159057617,-77.43746948242188,EASTON,PA,40.69445037841797,-75.21495056152342,1696,2022-03-03 09:00:00
434112817,JACKSONVILLE,FL,30.332087,-81.655665,PINELLAS PARK,FL,27.836152,-82.696364,543,2022-03-01 12:00:00
434133022,JEFFERSONVILLE,IN,38.28136825561523,-85.74318695068358,SEGUIN,TX,29.58511161804199,-97.96587371826173,3308,2022-03-04 08:00:00
434133069,PHILADELPHIA,PA,39.953603,-75.168424,LOCK HAVEN,PA,41.137015,-77.44692,1140,2022-03-03 02:00:00
434133070,PHILADELPHIA,PA,39.953603,-75.168424,LOCK HAVEN,PA,41.137015,-77.44692,1140,2022-03-03 09:00:00
434137573,Vicksburg,MS,32.351123,-90.884054,Dallas,TX,32.783251,-96.80039,1047,2022-03-03 20:00:00
434137630,JEFFERSONVILLE,IN,38.28136825561523,-85.74318695068358,LOWELL,AR,36.25530242919922,-94.1357192993164,1666,2022-02-28 12:00:00
434142907,CITY OF INDUSTRY,CA,34.02357864379883,-117.96026611328124,GREENWOOD,IN,39.61363220214844,-86.10608673095702,7211,2022-03-02 07:00:00
434142908,DETROIT,MI,42.33063888549805,-83.04241943359375,INDIANAPOLIS,IN,39.76836395263672,-86.15806579589844,807,2022-03-03 23:00:00
